# ----------------------------------------
# 411_web-bnet/sc2 (aggregated without locale)
# Site Pageviews
# 20151023-20151114
# ----------------------------------------

Page,Pageviews
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/9,"5,012"
/us.battle.net/sc2/LOCALE/game/lore/short-stories/children-void/1,"4,978"
/eu.battle.net/sc2/LOCALE/game/hero/zeratul,"4,975"
/us.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/2,"4,973"
/kr.battle.net/sc2/LOCALE/blog/19932726/AGGREGATED,"4,931"
/eu.battle.net/sc2/LOCALE/game/unit/corruptor,"4,889"
/eu.battle.net/sc2/LOCALE/game/unit/zergling,"4,880"
/eu.battle.net/sc2/LOCALE/game/guide/race-overview,"4,862"
/us.battle.net/sc2/LOCALE/blog/19956927/AGGREGATED,"4,841"
/us.battle.net/sc2/LOCALE/game/unit/ultralisk,"4,831"
/us.battle.net/sc2/LOCALE/blog/16658015/AGGREGATED,"4,819"
/eu.battle.net/sc2/LOCALE/forum/11898/,"4,806"
/kr.battle.net/sc2/LOCALE/blog/19940901/AGGREGATED,"4,806"
/eu.battle.net/sc2/LOCALE/game/unit/reaper,"4,803"
/kr.battle.net/sc2/LOCALE/game/unit/tempest,"4,800"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/7,"4,799"
/us.battle.net/sc2/LOCALE/blog/3250656/AGGREGATED,"4,791"
/us.battle.net/sc2/LOCALE/game/unit/battlecruiser,"4,787"
/us.battle.net/sc2/LOCALE/media/screenshots/,"4,783"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/5,"4,763"
/us.battle.net/sc2/LOCALE/game/unit/mothership,"4,756"
/eu.battle.net/sc2/LOCALE/game/unit/siege-tank,"4,750"
/us.battle.net/sc2/LOCALE/forum/12730/,"4,745"
/us.battle.net/sc2/LOCALE/game/unit/thor,"4,736"
/eu.battle.net/sc2/LOCALE/game/unit/high-templar,"4,700"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/8,"4,687"
/us.battle.net/sc2/LOCALE/game/lore/short-stories/ascension/1,"4,683"
/eu.battle.net/sc2/LOCALE/media/costumes/,"4,664"
/us.battle.net/sc2/LOCALE/blog/19906381/AGGREGATED,"4,614"
/us.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/3,"4,589"
/eu.battle.net/sc2/LOCALE/profile/friends,"4,555"
/eu.battle.net/sc2/LOCALE/blog/19932221/AGGREGATED,"4,546"
